name,jurisdiction,description,website,type___value
Vital Services North East,,,,
Newcastle Gateshead CCG,GB,,,Government body
AMIA (Argentine Israelite Mutual Association),,,,
Fundacion Forge,,,,
Fundacion Pescar,,,,
Fundacion Reciduca,,,,
Acrux Partners,,,,
Beccar Varela Law Firm,,,,
Fundacion Alimentaris,,,,
Government of the City of Buenos Aires,AR,,,Government body
Banco Ciudad de Buenos Aires (Bank of the City of Buenos Aires),,,,
Banco Galicia,,,https://www.bancogalicia.com/banca/online/web/Eminent,
IRSA Propiedades Comerciales (IRSA Commercial Properties),,,https://www.irsa.com.ar,
Organizacion Roman,,,,
Private investor,,,,
IDB - Inter-American Development Bank,,,https://bidlab.org/en,
Spectrum Health,,,,
Arbor Circle,,,,
Cherry Health,,,,
Grand Rapids Kent County Health Department,,,,
Michigan Department of Health and Human Services,,,,
The Youth Policy Lab,,,,
Michigan State University,,,,
State of Michigan,US,,,Government body
W.K. Kellogg Foundation,,,,
Federal Human Services Administration,,,,
Michigan Health Endowment Fund,,,,
Higher School of Economics (HSE),,,,
State Development Corporation VEB.RF (ex-Vnesheconombank),RU,,http://veb.ru/en,
Ministry of Education and Science of the Republic of Sakha (Yakutia),RU,,,Government body
The Far East and Baikal Region Development Fund,,,,
The Osborne Association and Friends of Island Academy,,,,
The Vera Institute of Justice,,,,
MDRC (Manpower Demonstration Research Corporation),,,https://www.mdrc.org,
New York City Department of Correction,US,,,Government body
Children's Investment Fund Foundation,GB,,,"Registered non-profit organisation, charity or foundation"
UBS Optimus Foundation,CH,"The UBS Optimus Foundation pursues social impact in a variety of ways, from traditional charitable giving to sustainable investing. At the UBS Optimus Foundation we are specifically focused on social returns – in particular, social outcomes that benefit vulnerable children. We are the only foundation linked to a global wealth manager staffed with philanthropy experts. With an approach that takes advantage of our unique network, we're taking a leading role in driving impactful philanthropy that delivers breakthrough solutions to pressing social issues.",http://www.ubs.com/optimus,"Registered non-profit organisation, charity or foundation"
Affinity Trust,,,,
Bradford District Council,GB,,,Government body
Social and Sustainable Capital (SASC),,,,
Rendiz,,,,
Instituut voor Positieve Gezondheid (Institute for Positive Health),,,,
Municipality of Venlo,NL,,,Government body
Rabobank Foundation,,,,
Municipality of Eindhoven,NL,,,Government body
"Various providers from private and non-profit sectors, focusing on employment and training services",,,,
Finnish Ministry of Economic Affairs and Employment,FI,,,Government body
European Investment Fund (EIF) / European Fund for Strategic Investments (EFSI),,,,
Others (including Sitra),,,,
Mother Teresa Middle School,,,,
Government of Sasketchewan,CA,,,Government body
The Mosaic Company Foundation,,,,
Surrey County Council,GB,,,Government body
Colorado Coalition for the Homeless,,,,
Mental Health Center for Denver,,,,
Corporation for Supportive Housing (project manager),,,,
Enterprise Community Partners,,,,
Colorado Access (managed care organization),,,,
"The City and County of Denver, Colorado",US,,,Government body
Living Cities Blended Catalyst Fund LLC,,,,
The Colorado Health Foundation,,,,
The Denver Foundation,,,,
The Ben and Lucy Ana Walton Fund of the Walton Family Foundation,,,,
The Northern Trust Company,,,,
The Benevolent Society,,,,
Westpac Institutional Bank,,,,
Commonwealth Bank of Australia,,,,
ARTD Consultants,,,,
Department of Family and Community Services NSW,AU,,,Government body
State of New South Wales Treasury,AU,,,Government body
Central and North West London NHS Foundation Trust,,,,
End of Life Care Incubator,,,,
Serco Group Plc. (operations and management),,,,
Fletcher Construction (design and construction),,,,
New Zealand Department of Corrections,NZ,,,Government body
SecureFuture Wiri Ltd. (SPV),,,,
John Laing Group PLC,,,,
InfraRed Capital Partners Limited,,,,
The Accident Compensation Corporation,,,,
Bank of New Zealand,,,,
Australia and New Zealand Banking Group Ltd,,,,
EGADZ Saskatoon Downtown Youth Center,,,,
Saskatchewan,,,,
Executive Council & Ministry of Social Serivces (intermediary),,,,
"Government of Sasketchewan (Ministries of Health, Education, and Social Services)",CA,,,Government body
Conexus Credit Union,,,,
Wally and Colleen Mah,,,,
Nottingham & Nottinghamshire Futures Ltd,,,,
Nottingham City Council,GB,,,Government body
Hindustan Latex Family Planning Promotion Trust (HLFPPT),IN,,,"Registered non-profit organisation, charity or foundation"
Mathematica,,,,
Palladium,,,,
Reed Smith,,,,
Phoenix Legal,,,,
Merck for Mothers,US,,,"Registered company, partnership or commercial association"
La Familia Counseling Services,,,,
WestEd,,,,
Government Performance Lab - Harvard Kennedy School,,,,
Nonprofit Finance Fund (transaction coordinator),,,,
BOSS (fiscal manager),,,,
Alameda County,US,,https://www.acgov.org,Government body
CA Board of State and Community Corrections,US,,,Government body
Social Innovation Fund,,,,
Life Without Barriers,,,,
National Australia Bank,,,,
Queensland Government,AU,,,Government body
Undisclosed,,,,
Chicago public elementary schools,,,,
SRI International (Stanford Research Institute),,,https://www.sri.com,
IFF (Illinois Facilities Fund),,,,
Chicago Board of Education,US,,,Government body
City of Chicago,US,,,Government body
J.B. and M.K. Pritzker Family Foundation,,,,
Interface Children & Family Services,,,,
University of California Los Angeles (Dr. David Farabee),,,,
Wilmington Trust (fiscal agent),,,,
Ventura County,US,,,Government body
California Board of State and Community Corrections,,,,
The Whitney Museum of American Art,,,,
St. Giles Trust,,,,
Ormiston Children and Families Trust,,,,
SOVA (Supporting others through voluntary action),,,,
Friends Provident Foundation,,,,
The Henry Smith Charity,,,,
Johansson Family Foundation,,,,
The Monument Trust,,,,
Lankelly Chase Foundation,,,,
Panahpur Charitable Trust,,,,
Paul Hamlyn Foundation,,,,
Apprentis d'Auteuil,,,,
Action Inc.,,,,
Boston Public Health Commission,,,,
Commonwealth Land Trust Inc.,,,,
Eliot Human Services,,,,
Father Bill's & Mainspring,,,,
Friends of the Homeless,,,,
Heading Home Inc.,,,,
Hearth,,,,
HomeStart Inc.,,,,
Housing Assistance Corporation/Duffy Health Center,,,,
Lynn Shelter Association,,,,
Mental Health Associates,,,,
Pine Street Inn,,,,
South Middlesex Opportunity Council,,,,
Massachusetts Housing and Shelter Alliance (MHSA),,,,
United Way of Massachusetts Bay,,,,
Merrimack Valley (UWMB),,,,
Root Cause Institute,,,,
Massachusetts Alliance for Supportive Housing (MASH),,,,
United Way of Massachusetts Bay and Merrimack Valley,,,,
The Commonwealth of Massachusetts (Massachusetts MassHealth and Division of Public Housing and Rental Assistance),US,,,Government body
Santander Bank US,,,,
Douglas College,,,,
Saskatchewan Polytechnic,,,,
Confederation College,,,,
Colleges and Institutes Canada (CICan),,,,
Employment and Social Development Canada (ESDC),CA,,,Government body
The Catherine Donnelly Foundation,,,,
Dave and Pamela Richardson,,,,
Westbank Community Health and Care,,,,
Devon County Council,GB,,,Government body
Colorado Seminary - Center for Effective Interventions (University of Denver Graduate School of Social Work),,,,
local providers,,,,
Piton Foundation,,,,
Colorado Health Access Fund (Denver Foundation),,,,
"Work-Wise Direct Consortium (Foundation 180, Exodus Foundation and Restart)",,,,
Society Impact (Intermediary),,,,
Ministerie van Justitie en Veiligheid (NL Ministry of Security and Justice),NL,,,Government body
Oranje Fonds,,,,
Werkplaats Rotterdam-Zuid (WRZ or Workplace Rotterdam South),,,,
Fonds DBL,,,,
Polaris Community (previously known as Core Assets Group),GB,,https://www.polarischildrensservices.co.uk/,
Birmingham City Council,GB,,,Government body
Crisis,,,,
London Borough of Brent,GB,,,Government body
Hutt Street Centre,,,,
Government of South Australia,AU,,,Government body
"Institutional investors including NGS Super, Future Super and HESTA; local investors including Coopers Brewery Foundation",,,,
Urbis,,,https://urbis.com.au,
"Newpin SBB Trust. The 59 investors include UnitingCare Burnside, high net worth individuals, family foundations and superannuation funds.",,,,
Orp Foundation,,,,
Oranjehuis,,,,
BNP Paribas Fortis,,,,
Curia,,,,
Opgroeien,BE,,,Government body
European Investment Fund,,,,
Boss Paints,,,,
BESIX Foundation,,,,
Mayday Trust,,,,
"First for Wellbeing CIC (Northamptonshire County Council, Northamptonshire Healthcare NHS Trust, University of Northampton)",GB,,,Government body
Rainforest Foundation UK,,,,
Central Asháninka del Río Ene (CARE),,,,
Kemito Ene Cocoa Co-operative,,,,
Other - Philanthropic contributions are included within the overall revenue of this project,GB,,,"Registered non-profit organisation, charity or foundation"
KIT - The Royal Tropical Institute ,,,,
The Common Fund for Commodities,NL,,,"Multilateral, bilateral or intergovernmental body"
The Schmidt Family Foundation,,,,
Social Impact Finance,,,,
IamNL,,,,
Municipality of Veldhoven,NL,,,Government body
"Van den Santheuve, Sobbe",,,,
[Anonymous],,,,
EOLC Incubator (SPV),,,,
Waltham Forest CCG,GB,,,Government body
Apeiros e.v.,,,https://apeiros-ev.de/,
Ausbildungsmanagement Augsburg / Eckert Schulen (training management Augsburg/ Eckert schools),,,,
Kinder -Jugend- und Familienhilfe Hochzoll (children youth and family welfare Hochzoll),,,,
Joblinge gAG München,,,,
The law firm Spiegel RA WP StB partnership mbB,,,,
München,,,,
University of Hamburg,,,,
"Bavarian State Ministry of Labor, Social Affairs and Integration",DE,,,Government body
BHF-Bank Stiftung (BHF-Bank-Foundation),,,,
Eberhard von Kuenheim Stiftung der BMW AG (Eberhard von Kuenheim Foundation of the BMW AG),,,,
BMW Stiftung Herbert Quandt (BMW Foundation Herbert Quandt),,,,
BonVenture gGmbH,,,,
Lincolnshire County Council,GB,,,Government body
City of Lincoln Council,GB,,,Government body
East Lindsey District Council,GB,,,Government body
South Holland District Council,GB,,,Government body
South Kesteven District Council,GB,,,Government body
Boston Borough Council,GB,,,Government body
North Kesteven District Council,GB,,,Government body
West Lindsey District Council,GB,,,Government body
Lincolnshire Partnership NHS Foundation Trust,GB,,,Government body
SKL Mental Health Commission and Health Navigator,,,,
Municipality of Norrköping,SE,,,Government body
Leksell Social Ventures,,,,
Heart and Stroke Foundation,,,,
MaRS Centre for Impact Investing,CA,"MaRS supports over 1,400 Canadian science and tech companies that are tackling some of society's greatest challenges, providing them with tailored resources at every stage of their development, from startup to scale-up. MaRS focuses on four sectors — cleantech, health, fintech and enterprise software.",https://www.marsdd.com,"Registered company, partnership or commercial association"
Public Health Agency of Canada (PHAC),CA,,,Government body
Ian Cockwell and Andrew Cockwell,,,,
Guy M. Beaudin,,,,
Max Bell Foundation,,,,
Mindset Social Innovation Foundation,,,,
RBC Generator,,,,
TELUS Ventures,,,,
The J.W. McConnell Family Foundation,,,,
Brighton & Hove City Council,GB,,,Government body
Hastings Borough Council,GB,,,Government body
Eastbourne Borough Council,GB,,,Government body
Arun District Council,GB,,https://www.arun.gov.uk,Government body
Adur and Worthing Council,GB,,,Government body
k-three Inc,,,,
Hachioji City,JP,,,Government body
SIIF (Social Impact Investment Foundation),,,,
Digisearch and Advertising Inc.,,,,
"Consortium of Voluntary Adoption Agencies (Action for Children, Adoption Matters North West, After Adoption, Caritas Care, Family Futures, and Parents and Children Together)",,,,
It's All About Me Services,,,,
Any local authority,GB,,,Government body
Fusion Housing,,,,
Connect Housing,,,,
C&K Careers,,,,
Wakefield Rent Deposit Scheme,,,,
Pennine Housing,,,,
Fresh Horizon,,,,
The Riverside Group,,,,
SmartMove,,,,
Adviza,,,,
Berkshire Community Foundation,,,,
Bracknell Forest Homes,,,,
Buckinghamshire County Council,,,,
DPP Health Partners,,,,
Institute for Future Engineering,,,,
Kobe City,JP,,,Government body
Sumitomo Mitsui Banking Corporation,,,,
Making Space ,,,,
Twining (Haringey),,,,
Working Well Trust (Tower Hamlets),,,,
Staffordshire County Council,GB,,,Government body
Tower Hamlets Clinical Commissioning Group,GB,,,Government body
London Borough of Haringey,GB,,,Government body
ALLCHILD Limited (formerly 'West London Zone'),GB,,https://www.allchild.org/,"Registered non-profit organisation, charity or foundation"
And Circus,,,,
Arch 197 Street Dance,,,,
Art Therapy,,,,
Be Enriched,,,,
Beanstalk Charity,,,,
Children's Literacy Charity,,,,
Choose to Live,,,,
Clement James Centre,,,,
Code Club (Link Worker),,,,
Creative Futures,,,,
Doorstep Library,,,,
Element,,,,
Fearless Futures,,,,
Fit-Age Parkour,,,,
Football Beyond Borders,,,,
Growth Mindset (Link Worker),,,,
Hammersmith Community Gardens Association,,,,
Hackney Speech and Language Therapy,,,,
Let Me Play,,,,
London Sports Trust,,,,
Mathletics (Link Worker),,,,
Move LDN,,,,
Place2Be,,,,
ReACT drama therapy,,,,
Reading Wise (Link Worker),,,,
Real Action,,,,
Reclaimed,,,,
Rhythm Studio,,,,
Successful Failures,,,,
Team Up,,,,
Third Space (Link Worker),,,,
UrbanWise.London,,,,
West London Action for Children,,,,
Working With Men,,,,
Royal Borough of Kensington and Chelsea,GB,,,Government body
London Borough of Hammersmith and Fulham,GB,,,Government body
"Ark Burlington Danes Academy, Phonenix Academy and Art Swift Primary Academy",GB,,,"Registered non-profit organisation, charity or foundation"
Philanthropic co-commissioner,GB,,,"Registered non-profit organisation, charity or foundation"
Stepping Stones Fund (City Bridge Trust and UBS),,,,
Nurse-Family Partnership,,,,
J-PAL North America,US,,https://www.povertyactionlab.org/na,
Social Finance US,US,"Social Finance US is a 501(c)(3) nonprofit organization dedicated to mobilizing capital to drive social progress. We believe that everyone deserves the opportunity to thrive, and that social impact financing can play a catalytic role in creating these opportunities. We design and manage public-private partnerships that tackle complex social challenges, such as achievement gaps, health disparities, and prisoner recidivism. Core to our work is the development of Pay for Success financing, also referred to as Social Impact Bonds. 

An innovative funding model, Pay for Success helps to measurably improve the lives of people in need by driving government resources toward better, more effective programs. Our sister organisation, Social Finance UK, was founded in 2007 and launched the world's first Social Impact Bond in 2010. 

Social Finance (US) intermediated 8 SIBs in the US.",https://socialfinance.org,"Registered non-profit organisation, charity or foundation"
Children's Trust of South Carolina,,,,
South Carolina Department of Health and Human Services,US,,,Government body
BlueCross BlueShield of South Carolina Foundation,,,,
The Duke Endowment,,,,
The Boeing Company,,,,
"Greenville County, SC First Steps",,,,
Consortium of private funders,,,,
Local Solutions,,,,
Oakmere Training (At Inception but decommissioned end Year one),,,,
Ernst and Young (independently evaluate the results),,,,
Utrecht University,,,,
Municipality of Utrecht,NL,,,Government body
Jewish Vocational Service,,,,
Economic Mobility Corporation,,,,
Jobs for the Future (technical assistance),,,,
Bank of America Merrill Lynch,,,,
The Commonwealth of Massachusetts,US,,,Government body
"Prudential Financial, Inc.",,,,
Maycomb Capital (Community Outcomes Fund),,,,
Combined Jewish Philanthropies (Donor Advised Funds),,,,
The Barbara Bush Foundation for Family Literacy,,,,
The Boston Impact Initiative,,,,
ImpactAssets,,,,
The Inherent Foundation,,,,
The Kresge Foundation,,,,
The Shapiro Foundation,,,,
Blood Bank of Delmarva,,,,
New York Blood Center,,,,
Longwood Foundation,US,,,"Registered non-profit organisation, charity or foundation"
Delaware Community Foundation Social Impact Fund,,,,
Kreishandwerkerschaft Steinfurt-Warendorf (Germany),,,,
Kennispunt Twente (Performance measurement),,,,
Municipality of Enschede,NL,,,Government body
BOAS Werkt,,,,
Centro de Assistencia Social a Terceira Idade e Infancia de Sanguedo (Sanguedo Social Assistance Centre for the Elderly and Children),,,https://castiis.pt,
"Administracao Central do Sistema de Saude (Healthcare System Central Administration, Portugal)",PT,,http://www.acss.min-saude.pt,Government body
Jose de Mello Saude S.A.,,,,
Harambee Academy,,,,
Explore Data Science Academy,,,,
WeThinkCode,,,,
Harambee Youth Employment Accelerator,,,,
Bonds4Jobs,,,,
Gauteng Provincial Government,ZA,,,Government body
The National Treasury Jobs Fund,ZA,,,Government body
Yellowwood,ZA,,http://www.ywood.co.za,"Registered company, partnership or commercial association"
Allan Gray Orbis Foundation Endowment,ZA,,https://www.allangrayorbisend.org/#allan-gray-orbis-foundation,"Registered non-profit organisation, charity or foundation"
First Rand Empowerment Foundation,ZA,,,"Registered non-profit organisation, charity or foundation"
The Hollard Insurance Company Limited,,,,
Brimstone Legacy Fund in partnership with Nedbank & Old Mutual,,,,
Clientele Limited,,,,
Oppenheimer Generations Foundation Limited,,,,
Sacred Heart Mission Inc.,AU,,,"Registered non-profit organisation, charity or foundation"
Latitude Network,,,,
The Centre for Social Impact at the University of Western Australia,,,,
Victoria State Government,AU,,,Government body
Centre4,,,,
Oasis Aquila Housing,,,,
Newcastle City Council,GB,,,Government body
Gateshead Council,GB,,,Government body
Family & Children's Services,,,,
State of Oklahoma Office of Management and Enterprise Services,US,,,Government body
The George Kaiser Family Foundation,,,,
Code for All Lda. ,,,,
Instituto do Emprego e Formação Profissional (Institute of Employment and Vocational Training),,,,
ASSOP - Associação Shared Services & Outsourcing Platform,,,,
Churches of Christ in Queensland,,,,
Social Outcomes,,,,
Center for Employment Opportunities,,,,
Department of Corrections and Community Supervision,,,,
Department of Labor,,,,
Chesapeake Research Associates,,,,
Harvard Kennedy School of Government,,,,
Jones Day (legal counsel),,,,
New York State Department of Labor,US,,,Government body
Rockefeller Foundation,,,,
Robin Hood Foundation,,,,
FrontLine Service,,,,
The Center on Urban Poverty and Community Development at the Jack Joseph and Morton Mandel School of Applied Social Sciences at Case Western Reserve University,,,,
The Cuyahoga Metropolitan Housing Authority,,,,
Emerald Development and Economic Network,,,,
Famicos Foundation (housing providers),,,,
County's Office of Homelessness,,,,
The Domestic Violence & Child Advocacy Center,,,,
County's Division of Children and Family Services (referral partners),,,,
"County of Cuyahoga, Ohio",,,,
The George Gund Foundation,,,,
The Cleveland Foundation,,,,
Sisters of Charity Foundation of Cleveland,,,,
ARBIAS (Alcohol Related Brain Injury Association),,,https://www.arbias.org.au,
NSW Bureau of Crime Statistics and Research (Evaluator),,,,
Corrective Services New South Wales,AU,,,Government body
ACSO (Australian Community Support Organisation),,,,
Aluma Association,,,,
Tel Aviv-Jaffa Academic College,IL,,,"Registered non-profit organisation, charity or foundation"
Haifa University,IL,,,"Registered company, partnership or commercial association"
Rothschild-Caesarea Foundation,,,,
Bank Leumi,,,,
Beyond Impact Investment Company,,,,
EPIC STUDENT- Associacao,,,,
Banco Santander Totta S.A,,,,
Village Enterprise,US,Village Enterprise is a non-profit dedicated to ending extreme poverty in rural Africa through entrepreneurship and innovation.,http://villageenterprise.org,"Registered non-profit organisation, charity or foundation"
IDInsight,US,"IDinsight was the evaluator on the first DIB in Asia, the Educate Girls DIB and the first DIB in Africa, the Village Enterprise DIB. They are design partners on the first project (in Ghana) of the Education Outcomes Fund for Africa and the Middle East, in addition to other projects.",https://www.idinsight.org/,"Registered company, partnership or commercial association"
Anonymous philanthropic fund based in USA,US,,,"Registered non-profit organisation, charity or foundation"
"FCDO - Foreign, Commonwealth and Development Office (formerly DFID)",GB,,,Government body
Delta Fund,,,,
The Halls Family,,,,
"ImpactAssets (gathering 3 private investors, including Silicon Valley Social Venture Fund (SV2))",,,,
Jay Friedrich,,,,
The Laidir Foundation (previously known as Brian Lonergan),,,,
Anonymous Philanthropy,,,,
Impetus-PEF,,,,
TESE - Associação para o desenvolvimento pela Tecnologia (Technology Development Association),,,https://tese.org.pt,
Engenharia,,,,
Saúde e Educação,,,,
Laboratório de Inovação Social,,,,
Monitoring / Operational Partners: Instituto do Emprego e Formação Profissional (Institute of Employment and Vocational Training),,,,
Pestalozzischule Mannheim (Pestalozzi School Mannheim),,,,
Stiftung Fairchance (Fairchance Foundation),,,,
Zentrum zur Therapie der Rechenschwäche (Therapy Centre for Dyscalculia),DE,,,
Teach First Germany gGmbH,,,,
KinderHelden gGmbH,,,,
Stadt Mannheim (commissioner) and evaluation commissioned by Bertelsmann Stiftung,,,,
PHINEO gAG,,,,
Stadt Mannheim (City of Mannheim),DE,,,Government body
BASF SE,,,,
Tomorrow's People,,,,
Sociaal Hospitaal (Social Hospital),,,,
PGGM,NL,,https://www.pggm.nl/en/,
Municipality of The Hague,NL,,,Government body
CZ [Healthcare Insurance Company],,,,
NOVA School of Business and Economics,PT,,,
Lisbon City Council,PT,,,Government body
Fundacion Crecer con Todos,,,,
Fundacion San Carlos de Maipo,,,,
Doble Impacto,,,,
Fundacion Larrain Vial,CL,,,"Registered non-profit organisation, charity or foundation"
Fundacion Viento Sur,CL,,,"Registered non-profit organisation, charity or foundation"
Fundacion Colunga,CL,,,"Registered non-profit organisation, charity or foundation"
Fundacion Mustakis,CL,,,"Registered non-profit organisation, charity or foundation"
A.P.E.I (Associacao de Profissionais de Educacao de Infancia),,,,
Associacao Laboratorio de Investimento Social,,,,
Fundacao Aga Khan Portugal,PT,"The Aga Khan Development Network has a great deal of experience with blended finance and outcome-based financing. Aga Khan Foundation (AKF) implemented an impact bond in Portugal focused on ""family literacy."" AKF Portugal was the social investor, the National Early Childhood Professionals Association was the implementing partner and the Ministry of Education the public partner; together with a research partner ISPA (Institute of Applied Psychology) and the outcome-analysis partner MAZE (Social Investment Lab). The main goal of the project was to improve literacy skills in writing and reading together with family literacy practises contributing to lower retention rates in basic education and promote school success.",https://the.akdn/en/home,"Registered non-profit organisation, charity or foundation"
Los Angeles County Department of Health Services Intense Case Management Providers,,,,
Brilliant Corners,,,,
RAND Corporation,,,,
National Council on Crime & Delinquency (intermediary),,,,
Corporation for Supportive Housing (transaction coordinator),,,,
Los Angeles County,US,,,Government body
US Department of Housing & Urban Development,US,,,Government body
UnitedHealthcare,,,,
The Conrad N. Hilton Foundation,,,,
CCP,,,,
Individual investors through SITR,,,,
The Colour Kitchen,,,,
Pimbaa (evaluative research),,,,
Kuepa,,,,
Fundación Colombia Incluyente,,,,
Corporación Volver a la gente,,,,
Fundación ProBono,,,,
Baker McKenzie,,,,
Compartamos con Colombia,,,,
Departamento de Prosperidad Social (Government of Colombia Department of Social Prosperity),CO,,,Government body
St Basil's,,,,
We Are With You (formerly called Addaction),,,,
Cornwall County Council,GB,,,Government body
Doncaster Metropolitan Borough Council,GB,,,Government body
Big Picture Learning Doncaster,,,,
ThinkForward,,,,
DFN Foundation,GB,,,"Registered non-profit organisation, charity or foundation"
Alzheimer's Society,,,,
Hestia Housing and Support,,,,
Harlington Hospice,,,,
Hounslow and Richmond Community Healthcare NHS Trust,,,,
London Borough of Hounslow,GB,,,Government body
Cheshire West and Chester Council,GB,,,Government body
"Futures Advice, Skills and Employment Ltd",,,,
Nottingham County Council,GB,,,Government body
Humankind,,,,
Addiction Dependency Solutions (ADS),,,,
Family Lives,,,,
Ecorys,GB,"Ecorys is an international consultancy providing research, consulting and management services. Ecorys is one of the world leaders in impact bond research, and is currently evaluating 42 impact bonds, including four development impact bonds. This work focuses on both evaluating the impact of the programme and on the 'impact bond effect' - i.e. how the impact bond affects the design, delivery and impact of the intervention",http://ecorys.com,"Registered company, partnership or commercial association"
ATQ,,,,
Kirklees Better Outcomes Partnership,,,,
Richmond Fellowship,,,,
Foundation UK,,,,
Horton Housing Association,,,,
Kirklees Metropolitan Borough Council,GB,,,Government body
Twinings,,,,
Ripplez CIC,,,,
Pause National,,,,
Derbyshire County Council,GB,,,Government body
Northamptonshire County Council,GB,,,Government body
Norfolk County Council,GB,,,Government body
Cromwood Housing,,,,
Kineara,,,,
Trevi House,,,,
